"host_name"	"perc_dis"	"tissue_Endozoicomonas"	"depth"	"temperature"	"turf_contact_percent"
"Pocillopora"	5.830450841	148.6521739	4.1548	25.42307692	2
"Stylophora"	3.687150838	634.4285714	2.055745455	24.79090909	7.5
"Psammocora"	12.38164603	244.75	2.990533333	26.63333333	4.333333333
"Physogyra"	0	1.8	2.98496	26.76	10
"Diploastrea"	0.704225352	5	4.601323077	27.50384615	7.833333333
"Echinopora"	1.87680462	46.55555556	2.593966667	26.55	8.555555556
"Favites"	0.585529067	14.22222222	1.84384	21.58	8
"Echinophyllia"	0.553505535	55.75	7.79648	23.824	9.2
"Hydnophora"	3.109656301	425.5714286	2.409885714	25.22	4.285714286
"Lobophyllia"	3.1543052	145.2941176	5.069444444	25.32666667	8.866666667
"Turbinaria"	1.872074883	44.90909091	5.208769231	25.50153846	13
"Porites"	16.51667822	340.1538462	3.764941935	25.53645161	6.5
"Pachyseris"	2.951510892	6.875	6.594436364	25.43909091	9.285714286
"Galaxea"	3.649635036	58.5	4.321275	25.4425	6.538461538
"Acropora"	3.64311332	58.68181818	2.843767742	26.32806452	1.214285714
"Pavona"	4.369457063	3.708333333	4.402013333	26.567	8.518518519
"Goniastrea"	0.288018433	6.714285714	1.997142857	22.22	1.571428571
"Cyphastrea"	21.66207168	621.6666667	1.983333333	23.57333333	8.333333333
"Seriatopora"	5.12195122	62.75	1.9	22	0
"Tubastraea"	0.909090909	7.285714286	5.347	26.772	0.5
"Platygyra"	1.229773463	204.4	2.554	25.68	14
"Acanthastrea"	0	8	7.89	25.545	2.5
"Orbicella"	3.315238465	11.75	5.365963636	26.90909091	0
"Stephanocoenia"	2.111324376	50	6.21792	28	0
