Disease_Trait,Diversity_Trait,Filtered_column,Filtered_Value,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
perc_dis,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.290987776,0.217892247,0.061470697,-43.34185536,234.19458962288 + 134.856437056023 - 130.936437056023,"lambda=1,delta=1,kappa=1",NA,89.2516545,92.2516545,,
perc_dis,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.519332231,0.087569552,-0.094916538,-10.83494243,160.2274137174 + 52.8949482129449 - 48.9749482129449,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.93431084758889,84.63339772,87.63339772,,
perc_dis,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.434322957,0.126156494,-0.048612207,-23.03127286,191.117481012248 + 91.1715900637808 - 87.2515900637808,"lambda=l,delta=ML,kappa=1",3 -/+ 0.364998734042279,87.19335036,90.19335036,,
perc_dis,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.425425126,0.130774006,-0.043071193,-25.90652518,216.065431388217 + 105.277108224183 - 101.357108224183,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 1.94562372739988,88.12647162,91.12647162,Model_3l_AIC,Model_3l_AICc
perc_bbd,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.515870028,0.088961499,-0.093246202,-93.59000075,166.741364219183 + 122.083123693778 - 118.163123693778,"lambda=1,delta=1,kappa=1",NA,90.31980296,93.31980296,,
perc_bbd,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.408592207,0.139844512,-0.032186585,-68.35803906,154.691416923324 + 42.3248826451192 - 38.4048826451192,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.79287694478396,84.2204069,87.2204069,,
perc_bbd,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.493093514,0.098478959,-0.08182525,-80.50489014,162.303167742253 + 72.7816723382561 - 68.8616723382561,"lambda=l,delta=ML,kappa=1",3 -/+ 0.681292111619504,87.41162491,90.41162491,,
perc_bbd,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.543277721,0.078322372,-0.106013154,-71.88880827,170.509728289202 + 82.4335764019646 - 78.5135764019646,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 1.66280644442835,88.53661817,91.53661817,Model_3l_AIC,Model_3l_AICc
perc_wd,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.188335888,0.316803326,0.180163991,-335.6907571,205.543071667684 + 108.920568230919 - 105.000568230919,"lambda=1,delta=1,kappa=1",NA,88.30518627,91.30518627,,
perc_wd,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.187198947,0.318141743,0.181770091,-187.1681673,169.593265015701 + 39.6254269831692 - 35.7054269831692,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.869434873886703,82.5943673,85.5943673,,
perc_wd,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.209908711,0.292615089,0.151138106,-258.233436,190.514617500725 + 67.7582879748625 - 63.8382879748625,"lambda=l,delta=ML,kappa=1",3 -/+ 0.569640479743026,85.71406586,88.71406586,,
perc_wd,observed_features_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.145431989,0.372643344,0.247172012,-316.6919195,199.752939852449 + 70.2491612251537 - 66.3291612251538,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 1.39061486084942,85.84385601,88.84385601,Model_3l_AIC,Model_3l_AICc
perc_dis,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.122023625,0.408867907,0.290641488,0.0416358202169228 + 1.98238890638221 - -1.93761109361779,0.00248913905968962 + 2.03430329058117 - -1.88569670941883,"lambda=1,delta=1,kappa=1",NA,-15.59672825,-12.59672825,,
perc_dis,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.512577114,0.09029858,-0.091641704,0.0108626616708198 + 1.97541914267271 - -1.94458085732729,0.0719438582719454 + 1.99687230247492 - -1.92312769752508,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-16.59841707,-13.59841707,,
perc_dis,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.312876581,0.201104223,0.041325068,0.0226598090899979 + 1.98019787646294 - -1.93980212353706,0.0424366091806326 + 2.01680292339597 - -1.90319707660403,"lambda=l,delta=ML,kappa=1",3 -/+ 0.0309925325620288,-15.83514795,-12.83514795,,
perc_dis,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.011984524,0.747895,0.697474,0.0570833299189517 + 1.97482158713791 - -1.94517841286209,3.887041247,"lambda=1,delta=1,kappa=ML",3 -/+ 0.865523216773953,-19.17166242,-16.17166242,Model_3k_AIC,Model_3k_AICc
perc_bbd,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.535603195,0.081214931,-0.102542083,0.0599172385345548 + 2.05012718620638 - -1.86987281379362,0.0702171619002638 + 2.03758021018054 - -1.88241978981946,"lambda=1,delta=1,kappa=1",NA,-12.50963921,-9.509639212,,
perc_bbd,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.513240478,0.090028182,-0.091966181,0.0420443579958055 + 2.01977883588395 - -1.90022116411605,0.079191825350661 + 1.99009982844079 - -1.92990017155921,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.956375844611616,-16.59633672,-13.59633672,,
perc_bbd,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.539255123,0.079830262,-0.104203685,0.0506178546664128 + 2.03685443382023 - -1.88314556617977,0.0734860608716407 + 2.00764676213937 - -1.91235323786063,"lambda=l,delta=ML,kappa=1",3 -/+ 0.494684076553105,-14.84585436,-11.84585436,,
